sp_id;title;keywords;strength_tags;tools_stack;pitch_2lines;evidence;proof_link;metrics;priority;last_updated
SP001;Pricing;"pricing; derivatives; Black-Scholes; options; swaps; futures; Greeks; volatility; hedging; valorisation; produits dérivés; sensibilités; smile de volatilité; calibration; modèle de taux; pricer";"quant; finance; structuring";"Python;C++;QuantLib;Excel";Valorisation de produits dérivés vanille et exotiques (options, swaps, futures), calcul des sensibilités (Greeks), calibration de modèles de volatilité et pricing de produits structurés sur différentes classes d'actifs.;;;;5;2026-04-01
SP002;Simulation;"Monte Carlo; particle method; discretization; SDEs; PDEs; stochastic; scenario generation; simulation stochastique; processus diffusion; Euler-Maruyama; réduction de variance; quasi-Monte Carlo; variance reduction";"quant; finance; risk";"Python;C++;NumPy;SciPy";Développement de moteurs de simulation stochastique (Monte Carlo, quasi-MC) pour le pricing de dérivés complexes, la génération de scénarios de risque et l'évaluation de portefeuilles sous incertitude.;;;;5;2026-04-01
SP003;Risk Management;"VaR; ES; EEPE; PFE; sensitivities; stress testing; portfolio risk; counterparty risk; gestion des risques; risque de marché; risque de contrepartie; backtesting; scénarios de stress; limites de risque; risk framework; reporting risque";"quant; finance; risk";"Python;SQL;Excel";Mesure et surveillance des risques de marché, crédit et contrepartie (VaR, ES, PFE), mise en œuvre de frameworks de risque, stress tests et reporting réglementaire pour des portefeuilles multi-actifs.;;;;4;2026-04-01
SP004;Rates;"HJM; affine models; LMM; Jamshidian; short-rate models; yield curves; interest rate derivatives; cap; floor; swaption; taux d'intérêt; courbe de taux; modélisation de taux; calibration; produits de taux; swap de taux; modèle Hull-White; modèle G2++";"quant; finance";"Python;C++;QuantLib";Modélisation et pricing de dérivés de taux (caps, floors, swaptions), simulation de courbes de taux et calibration de modèles de structure par terme (HJM, LMM, Hull-White) sur données de marché.;;;;5;2026-04-01
SP005;FX;"foreign exchange; spot; forwards; options; currency hedging; volatility; correlation; G10; EM; FX derivatives; change; couverture de change; risque de change; options de change; volatilité FX; NDF; barrier options";"quant; finance";"Python;Excel;SQL";Analyse des marchés de change, pricing de dérivés FX (options, forwards, NDF), gestion des expositions en devises et couverture de risque de change dans des portefeuilles multi-devises.;;;;5;2026-04-01
SP006;Time Series;"ARMA; SARIMA; GARCH; volatility modeling; cointegration; factor models; forecasting; econometrics; seasonal adjustment; séries temporelles financières; modélisation de la volatilité; prévision; signaux de trading; stationnarité; tests de racine unitaire";"quant; finance; data";"Python;statsmodels;pandas;R";Analyse et prévision de séries temporelles financières, modélisation de la volatilité (GARCH), détection de cointegration et extraction de signaux quantitatifs pour des stratégies de trading systématique.;;;;3;2026-04-01
SP007;Portfolio Optimization;"portfolio allocation; mean-variance; Sharpe ratio; risk-adjusted return; optimization; constraints; multi-asset; factor models; risk parity; allocation d'actifs; optimisation de portefeuille; allocation stratégique; allocation tactique; Black-Litterman; parité de risque; efficient frontier";"quant; finance; asset management";"Python;R;CVXPY;Excel";Construction et optimisation de portefeuilles multi-actifs (mean-variance, Black-Litterman, risk parity), intégration de contraintes réglementaires et objectifs de performance ajustée du risque pour des mandats institutionnels.;;;;3;2026-04-01
SP008;Derivatives;"options; futures; swaps; exotic derivatives; structured products; hedging strategies; Greeks; Delta; Vega; Theta; produits structurés; dérivés exotiques; couverture dynamique; payoff; barrière; autocall; CLN; TRS";"quant; finance; structuring";"Python;Excel;VBA;QuantLib";Pricing, analyse et couverture d'instruments dérivés vanille et exotiques (autocalls, CLN, barrier options), implémentation des Greeks et analyses de scénarios pour les activités de trading et de gestion des risques.;;;;5;2026-04-01
SP009;Statistical Analysis;"regression; correlation; PCA; hypothesis testing; econometrics; factor analysis; model validation; inference; statistical tests; analyse statistique; régression linéaire; analyse factorielle; validation de modèle; tests statistiques; ACP; modèles économétriques";"quant; finance; data";"Python;R;statsmodels;SciPy";Application de méthodes statistiques avancées (régression, PCA, tests d'hypothèses) à des données financières pour la modélisation, la validation de modèles quantitatifs et l'aide à la décision d'investissement.;;;;4;2026-04-01
SP010;Machine Learning;"ML; predictive modeling; classification; regression; supervised learning; unsupervised learning; ensemble; feature selection; neural networks; apprentissage automatique; modèles prédictifs; scoring; détection d'anomalies; NLP financier; gradient boosting; deep learning";"quant; finance; data; AI";"Python;scikit-learn;TensorFlow;XGBoost";Application de techniques de machine learning (XGBoost, réseaux de neurones, NLP) pour la prédiction de marchés, le scoring d'actifs, la détection d'anomalies et le développement de stratégies d'investissement systématiques.;;;;3;2026-04-01
